n,f,ipc,pmiss,corrtype,mean(pctparan),mean(pctkaiser),mean(pctjolliffe),mean(pctproflik),mean(pctekc),na.rm
250,10,5,0.25,pearson,0.98,0.4,0,0.107,0.854,TRUE
250,10,5,0.25,tetrachoric,0.972,0.372,0,0.002,0.372,TRUE
250,10,5,0.5,pearson,0.994,0.944,0,0.023,0.977,TRUE
250,10,5,0.5,tetrachoric,0.998,0.934,0,0.002,0.934,TRUE
250,3,10,0.1,pearson,0.998,0.006,0,0.959,0.007,TRUE
250,3,10,0.1,tetrachoric,0.933,0.018,0,0.748,0.018,TRUE
250,3,10,0.25,pearson,1,0.783,0,0.976,0.79,TRUE
250,3,10,0.25,tetrachoric,1,0.867,0.002,0.837,0.867,TRUE
250,3,10,0.5,pearson,1,0.998,0,0.963,0.998,TRUE
250,3,10,0.5,tetrachoric,1,0.999,0.017,0.866,0.999,TRUE
250,3,3,0.1,pearson,0.985,0.999,0.095,0.848,0.999,TRUE
250,3,3,0.1,tetrachoric,0.958,0.989,0.767,0.54,0.989,TRUE
250,3,3,0.25,pearson,0.996,1,0.724,0.845,1,TRUE
250,3,3,0.25,tetrachoric,0.988,1,0.993,0.632,1,TRUE
250,3,3,0.5,pearson,0.998,1,0.949,0.812,1,TRUE
250,3,3,0.5,tetrachoric,0.999,1,1,0.65,1,TRUE
250,3,5,0.1,pearson,1,0.839,0,0.933,0.842,TRUE
250,3,5,0.1,tetrachoric,0.996,0.842,0.056,0.63,0.842,TRUE
250,3,5,0.25,pearson,1,1,0.043,0.935,1,TRUE
250,3,5,0.25,tetrachoric,1,1,0.742,0.748,1,TRUE
250,3,5,0.5,pearson,1,1,0.274,0.93,1,TRUE
250,3,5,0.5,tetrachoric,1,1,0.965,0.798,1,TRUE
250,5,10,0.1,pearson,0.998,0,0,0.901,0,TRUE
250,5,10,0.1,tetrachoric,0.657,0,0,0.392,0,TRUE
250,5,10,0.25,pearson,1,0.012,0,0.891,0.332,TRUE
250,5,10,0.25,tetrachoric,1,0.028,0,0.502,0.028,TRUE
250,5,10,0.5,pearson,1,0.407,0,0.811,0.787,TRUE
250,5,10,0.5,tetrachoric,1,0.502,0,0.512,0.502,TRUE
250,5,3,0.1,pearson,0.858,0.987,0.002,0.585,0.987,TRUE
250,5,3,0.1,tetrachoric,0.737,0.923,0.339,0.18,0.923,TRUE
250,5,3,0.25,pearson,0.946,1,0.272,0.554,1,TRUE
250,5,3,0.25,tetrachoric,0.921,0.995,0.931,0.202,0.995,TRUE
250,5,3,0.5,pearson,0.977,1,0.678,0.452,1,TRUE
250,5,3,0.5,tetrachoric,0.976,0.999,0.991,0.229,0.999,TRUE
250,5,5,0.1,pearson,1,0.332,0,0.788,0.376,TRUE
250,5,5,0.1,tetrachoric,0.96,0.313,0,0.271,0.313,TRUE
250,5,5,0.25,pearson,1,0.999,0,0.758,0.999,TRUE
250,5,5,0.25,tetrachoric,1,0.997,0.092,0.369,0.997,TRUE
250,5,5,0.5,pearson,1,1,0.004,0.675,1,TRUE
250,5,5,0.5,tetrachoric,1,1,0.419,0.391,1,TRUE
1000,10,10,0.1,pearson,1,0,0,0.97,0,TRUE
1000,10,10,0.1,tetrachoric,1,0,0,0.005,0,TRUE
1000,10,10,0.25,pearson,1,1,0,0.074,1,TRUE
1000,10,10,0.25,tetrachoric,1,0.999,0,0,0.999,TRUE
1000,10,10,0.5,pearson,1,1,0,0,1,TRUE
1000,10,10,0.5,tetrachoric,1,1,0,0,1,TRUE
1000,10,3,0.1,pearson,1,1,0,0.588,1,TRUE
1000,10,3,0.1,tetrachoric,0.947,0.998,0.814,0,0.998,TRUE
1000,10,3,0.25,pearson,1,1,0.854,0.002,1,TRUE
1000,10,3,0.25,tetrachoric,1,1,1,0,1,TRUE
1000,10,3,0.5,pearson,1,1,1,0,1,TRUE
1000,10,3,0.5,tetrachoric,1,1,1,0,1,TRUE
1000,10,5,0.1,pearson,1,0.998,0,0.871,0.998,TRUE
1000,10,5,0.1,tetrachoric,1,0.983,0,0.002,0.983,TRUE
1000,10,5,0.25,pearson,1,1,0,0.017,1,TRUE
1000,10,5,0.25,tetrachoric,1,1,0.867,0,1,TRUE
1000,10,5,0.5,pearson,1,1,0.169,0,1,TRUE
1000,10,5,0.5,tetrachoric,1,1,1,0,1,TRUE
1000,3,10,0.1,pearson,1,1,0,1,1,TRUE
1000,3,10,0.1,tetrachoric,1,1,0.101,0.958,1,TRUE
1000,3,10,0.25,pearson,1,1,0.046,1,1,TRUE
1000,3,10,0.25,tetrachoric,1,1,0.999,0.984,1,TRUE
1000,3,10,0.5,pearson,1,1,0.822,1,1,TRUE
1000,3,10,0.5,tetrachoric,1,1,1,0.996,1,TRUE
1000,3,3,0.1,pearson,1,1,0.619,0.999,1,TRUE
1000,3,3,0.1,tetrachoric,1,1,1,0.78,1,TRUE
1000,3,3,0.25,pearson,1,1,1,0.996,1,TRUE
1000,3,3,0.25,tetrachoric,1,1,1,0.854,1,TRUE
1000,3,3,0.5,pearson,1,1,1,0.987,1,TRUE
1000,3,3,0.5,tetrachoric,1,1,1,0.881,1,TRUE
1000,3,5,0.1,pearson,1,1,0.027,1,1,TRUE
1000,3,5,0.1,tetrachoric,1,1,0.99,0.883,1,TRUE
1000,3,5,0.25,pearson,1,1,0.985,1,1,TRUE
1000,3,5,0.25,tetrachoric,1,1,1,0.963,1,TRUE
1000,3,5,0.5,pearson,1,1,1,1,1,TRUE
